Column,Method,Sample Name,CAS ,RT,Signal,Matrix ID Name,MeOH,ACN,DMSO,DCM,CHCl3,solute_smiles
BlueBird,method_1,Pindolol,13523-86-9,2.175,1,matrix ID BlueBird 1,0,0,0,1,1,Did not work
BlueBird,method_1,Protocatechuic_acid,99-50-3,2.834,1,matrix ID BlueBird 1,1,1,1,0,0,Did not work
BlueBird,method_1,Suberic_acid_monomethyl_ester,3946-32-5,4.292,1,matrix ID BlueBird 1,1,0,1,0,1,Did not work
BlueBird,method_1,Z-D-Glu-OBzl,65706-99-2,5.091,1,matrix ID BlueBird 1,0,0,0,1,1,Did not work
BlueBird,method_1,Z-D-Phg-OH,17609-52-8,5.081,1,matrix ID BlueBird 1,1,0,1,1,1,Did not work
BlueBird,method_1,"meso-1,2-Dibromo-1,2-diphenylethane",13440-24-9,5.994,1,matrix ID BlueBird 1,0,0,0,1,0,Did not work
BlueBird,method_1,mono-tert-Butyl_succinate,15026-17-2,4.186,1,matrix ID BlueBird 1,1,1,1,0,0,Did not work
BlueBird,method_1,pentafluorobenzyl-bromide,1765-40-8,5.716,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,"trans-1,2-Bis(phenylsulfonyl)ethylene",963-16-6,5.192,1,matrix ID BlueBird 1,0,0,0,0,0,Did not work
BlueBird,method_1,trans-4-(9-Fluorenylmethyloxycarbonylaminomethyl)-cyclohexanoic_acid,188715-40-4,5.311,1,matrix ID BlueBird 1,0,0,0,0,0,Did not work
BlueBird,method_1,trans-Aconitic-acid,4023-65-8,1.606,1,matrix ID BlueBird 1,1,1,1,0,0,Did not work
PFP,method_1,(1-BROMOETHYL)BENZENE,585-71-7,3.927,1,matrix ID PFP 1,1,1,1,1,1,Did not work
PFP,method_1,"(2,6-Dioxo-piperidin-4-yl)-acetic_acid",6258-28-2,0.0,0,matrix ID PFP 1,0,0,1,0,0,Did not work
PFP,method_1,(2-BENZYLOXYCARBONYLAMINO-ACETYLAMINO)-ACETIC_ACID,2566-19-0,3.676,1,matrix ID PFP 1,0,0,1,0,0,Did not work
PFP,method_1,(2S)-2-{[(9H-fluoren-9-ylmethoxy)carbonyl]amino}-4-hydroxybutanoic acid,172525-85-8,3.301,1,matrix ID PFP 1,0,0,1,0,0,Did not work
PFP,method_1,"(2S,5S)-1-Hydroxy-2,5-diphenylphospholane 1-oxide",474049-73-5,0.0,0,matrix ID PFP 1,0,0,0,0,1,Did not work
PFP,method_1,"(?S)-4-(1,1-Dimethylethoxy)-?-[[(9H-fluoren-9-ylmethoxy)carbonyl]amino]benzenebutanoic_acid",204384-69-0,5.566,1,matrix ID PFP 1,0,0,1,1,1,Did not work
PFP,method_1,(R)-(-)-2-Methoxy-2-phenylethanol,17628-72-7,5.464,1,matrix ID PFP 1,1,1,1,1,1,Did not work
PFP,method_1,"(S)-(-)-2-Amino-3-methyl-1,1-diphenyl-1-butanol",78603-95-9,3.94,1,matrix ID PFP 1,0,1,1,1,1,Did not work
PFP,method_1,(S)-Benzyl 2-(((S)-1-methoxy-4-methyl-1-oxopentan-2-yl)carbamoyl)pyrrolidine-1-carboxylate,2873-37-2,4.985,1,matrix ID PFP 1,1,1,1,1,1,Did not work
PFP,method_1,"1,1,1-Tris(4-hydroxyphenyl)ethane",27955-94-8,4.585,1,matrix ID PFP 1,1,1,1,0,0,Did not work
PFP,method_1,"1,1,3-Triphenylpropargyl alcohol",1522-13-0,4.48,1,matrix ID PFP 1,1,1,1,1,1,Did not work
